Location,Location_Name,Latitude,Longitude,LocalMonth,LocalYear,Value,Unit
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2012,1.641228723,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2012,4.437476586,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2012,1.120490143,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2012,0.023044355,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2012,0.021398148,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2012,0.061676971,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2012,0.24079602,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2012,0.067834005,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,1,2013,0.083968414,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,2,2013,0.074822917,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,3,2013,0.072854167,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,4,2013,0.918978932,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2013,2.224881107,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2013,1.819352391,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2013,1.00751155,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2013,0.014585125,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2013,0.037481481,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2013,0.206137097,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2013,0.526709497,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2013,0.43233871,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,1,2014,0.454712177,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,2,2014,0.14846875,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,3,2014,0.387206989,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,4,2014,0.831048023,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2014,5.431916667,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2014,1.256397917,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2014,0.020133484,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2014,0.01184095,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2014,0.014427315,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2014,0.068357975,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2014,0.059076607,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2014,0.157990591,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,1,2015,0.219551351,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,2,2015,0.292633929,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,3,2015,0.414716398,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,4,2015,1.068169444,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2015,0.724965054,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2015,0.185450694,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2015,0.005856183,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2015,0.013346774,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2015,0.017490972,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2015,0.013223856,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2015,0.050846995,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2015,0.139165161,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,1,2016,0.138698511,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,2,2016,0.206494695,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,3,2016,0.267978856,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,4,2016,2.0691625,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2016,1.831195291,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2016,0.645361569,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2016,0.103515638,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2016,0.021297251,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2016,0.056833333,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2016,0.108803787,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2016,0.194654118,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2016,0.21405364,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,1,2017,0.295869624,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,2,2017,0.324466568,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,3,2017,0.342727151,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,4,2017,1.002565278,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2017,5.158862637,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2018,0.277046341,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2018,0.033276882,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2018,0,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2018,0.055530556,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2018,0.139836022,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2018,0.037086111,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2018,0.045686957,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2019,0.4198375,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2019,0.14455,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2019,0.038083333,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2019,0.039334677,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2019,0.175715278,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2019,0.193663851,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2019,0.388881944,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2019,0.425158602,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,1,2020,0.457725806,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,2,2020,0.419208333,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,3,2020,0.580647849,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,4,2020,0.737158333,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2020,6.705267473,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2020,2.876138889,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2020,0.841887097,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2020,0.032630376,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2020,0.127151389,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2020,0.209262097,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2020,0.074663889,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2020,0.113524194,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,1,2021,0.173979839,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,2,2021,0.191692078,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,3,2021,0.284151882,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,4,2021,0.265448519,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2021,1.209758065,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2021,0.254694678,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2021,0.020649737,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2021,0.024990591,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2021,0.033425,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2021,0.194901882,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2021,0.203481944,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2021,0.192533602,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,1,2022,0.424276882,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,2,2022,0.28446875,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,3,2022,0.240356183,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,4,2022,0.691918056,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,5,2022,1.714313172,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,6,2022,3.173254167,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,7,2022,1.202329593,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,8,2022,0.048849057,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,9,2022,0.095022409,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,10,2022,0.188852151,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,11,2022,0.097647222,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,12,2022,0.241228495,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,1,2023,0.172942204,m^3/s
08NM0029,Middle Vernon Creek at Lodge Road,50.03444,-119.397825,2,2023,0.172971726,m^3/s
